,addressee,dialogue_act,dialogue_num,doc,emitter,global_id,original_turn_number,span_end,subdoc,superdoc_num,surface_act,text,turn_id,type,parent_schema_id,schema_composition,outgoing_relation_id,relation_type
28,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681428,9.1,857.0,01,1.0,Assertion,Indeed;,16.0,Segment,0,0,pilot01_01_nasher_1454925057983,Explanation
29,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681429,9.1,921.0,01,1.0,Assertion,I had the pleasure editing the source code of this application.,16.0,Segment,0,0,pilot01_01_sleva_1340913953723,Clarification_question
30,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340824901,10,952.0,01,1.0,Assertion,Ah. Fun I take it?,17.0,Segment,0,0,pilot01_01_sleva_1340914006142,Contrast
31,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340824901,10,952.0,01,1.0,Assertion,Ah. Fun I take it?,17.0,Segment,0,0,pilot01_01_nasher_1454936929151,Question_answer_pair
32,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340824902,10,1003.0,01,1.0,Assertion,"Still, it looks very nicely laid out to be honest.",17.0,Segment,0,0,0,0
33,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681436,10.1,1053.0,01,1.0,Assertion,"Well, it's an open source projet,",18.0,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1454936945671,Result
34,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681437,10.1,1065.0,01,1.0,Assertion,so it's OK.,18.0,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1454936954239,Result
35,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681438,10.1,1104.0,01,1.0,Question,But I had to dig deeper than I wanted.,18.0,Segment,pilot01_01_nasher_1454936912041,EDU,pilot01_01_nasher_1458830076702,Comment
36,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681439,10.1,1108.0,01,1.0,Assertion,:*),18.0,Segment,0,0,0,0
37,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340834901,11,1132.0,01,1.0,Assertion,Ahh! I see.,19.0,Segment,0,0,pilot01_01_sleva_1340914070000,Comment
38,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340834902,11,1157.0,01,1.0,Assertion,"One more to go, I guess.",19.0,Segment,0,0,pilot01_01_sleva_1340914174492,Continuation
39,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340834902,11,1157.0,01,1.0,Assertion,"One more to go, I guess.",19.0,Segment,0,0,pilot01_01_nasher_1454937103012,Acknowledgement
40,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681446,11.1,1178.0,01,1.0,Assertion,"Yes,",20.0,Segment,0,0,pilot01_01_nasher_1454937112964,Elaboration
41,Tomm,Other,1.0,pilot01,Markus,pilot01_01_stac_1454681447,11.1,1212.0,01,1.0,Assertion,it's supposed to be three of you.,20.0,Segment,0,0,pilot01_01_nasher_1454937160211,Clarification_question
42,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681450,11.2,1258.0,01,1.0,Question,"Hm, how are you two for time?",21.0,Segment,0,0,pilot01_01_nasher_1454937185731,Clarification_question
43,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681451,11.2,1284.0,01,1.0,Question,Can we wait a bit longer?,21.0,Segment,0,0,pilot01_01_sleva_1340914077671,Question_answer_pair
44,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681451,11.2,1284.0,01,1.0,Question,Can we wait a bit longer?,21.0,Segment,0,0,pilot01_01_sleva_1340914085587,Question_answer_pair
45,All,Other,1.0,pilot01,Tomm,pilot01_01_stac_1340844901,12,1330.0,01,1.0,Assertion,I'm good for a little bit longer.,22.0,Segment,0,0,pilot01_01_nasher_1454937250242,Acknowledgement
46,Tomm,Other,1.0,pilot01,rennoc1,pilot01_01_stac_1340854901,13,1379.0,01,1.0,Assertion,I don't mind waiting for a while.,23.0,Segment,0,0,pilot01_01_nasher_1454937257978,Acknowledgement
47,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681460,13.1,1402.0,01,1.0,Assertion,Great.,24.0,Segment,0,0,pilot01_01_nasher_1454937558093,Contrast
48,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681461,13.1,1464.0,01,1.0,Assertion,I guess if person number 3 doesn't show up in 5 or 10 minutes,24.0,Segment,pilot01_01_nasher_1454937303642,EDU,pilot01_01_nasher_1454937469406,Conditional
49,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681462,13.1,1496.0,01,1.0,Assertion,it'll be you only you two anywa,24.0,Segment,pilot01_01_nasher_1454937375081,EDU,pilot01_01_nasher_1454937392392,Continuation
50,"Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681465,13.2,1515.0,01,1.0,Assertion,y.,25.0,Segment,pilot01_01_nasher_1454937375081,EDU,0,0
51,All,Other,1.0,pilot01,Dave,pilot01_01_stac_1340864901,14,1530.0,01,1.0,Assertion,hi,26.0,Segment,0,0,pilot01_01_nasher_1454937626612,Acknowledgement
52,"Dave, Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681471,14.1,1557.0,01,1.0,Assertion,"Ah, great.",27.0,Segment,0,0,pilot01_01_nasher_1454937688315,Result
53,"Dave, Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681472,14.1,1571.0,01,1.0,Assertion,We can start.,27.0,Segment,0,0,pilot01_01_nasher_1454937715842,Elaboration
54,"Dave, Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681475,14.2,1620.0,01,1.0,Assertion,Sombody has to click START GAME.,28.0,Segment,0,0,pilot01_01_nasher_1454937759097,Narration
55,"Dave, Tomm, rennoc1",Other,1.0,pilot01,Markus,pilot01_01_stac_1454681478,14.3,1656.0,01,1.0,Assertion,Amd and off you go!,29.0,Segment,0,0,0,0
56,All,Other,2.0,pilot01,rennoc1,pilot01_01_stac_1341014901,29,1706.0,01,2.0,Question,so anyone else played this before?,30.0,Segment,0,0,pilot01_01_sleva_1340914250405,Question_answer_pair
57,All,Other,2.0,pilot01,rennoc1,pilot01_01_stac_1341014901,29,1706.0,01,2.0,Question,so anyone else played this before?,30.0,Segment,0,0,pilot01_01_sleva_1340914456593,Question_answer_pair
58,All,Other,2.0,pilot01,rennoc1,pilot01_01_stac_1341014901,29,1706.0,01,2.0,Question,so anyone else played this before?,30.0,Segment,0,0,pilot01_01_nasher_1374068608036,Correction
59,rennoc1,Other,2.0,pilot01,Dave,pilot01_01_stac_1341024901,30,1732.0,01,2.0,Assertion,"I haven't, no",31.0,Segment,0,0,0,0
60,rennoc1,Other,2.0,pilot01,Tomm,pilot01_01_stac_1341034901,31,1761.0,01,2.0,Assertion,"Yes, a little...",32.0,Segment,0,0,pilot01_01_jhunter_1478264506192,Contrast
61,rennoc1,Other,2.0,pilot01,Tomm,pilot01_01_stac_1341034902,31,1789.0,01,2.0,Assertion,but I was never good at it.,32.0,Segment,0,0,0,0
62,rennoc1,Other,2.0,pilot01,Dave,pilot01_01_stac_1341044901,32,1831.0,01,2.0,Question,is it still your turn rennoc?,33.0,Segment,0,0,pilot01_01_sleva_1340914519915,Question_answer_pair
63,Dave,Other,2.0,pilot01,rennoc1,pilot01_01_stac_1341054901,33,1852.0,01,2.0,Assertion,"yeah,",34.0,Segment,0,0,0,0
64,All,Offer,3.0,pilot01,Dave,pilot01_02_stac_1340734905,42,74.0,02,3.0,Request,does anyone have any wood they would be willing to trade for?,35.0,Segment,0,0,pilot01_02_asoubeille_1340974750625,Question_answer_pair
65,Dave,Refusal,3.0,pilot01,Tomm,pilot01_02_stac_1340744905,43,90.0,02,3.0,Assertion,Not,36.0,Segment,pilot01_02_asoubeille_1340974725421,EDU,pilot01_02_asoubeille_1340974770359,Elaboration
66,Dave,Other,3.0,pilot01,Tomm,pilot01_02_stac_1340744906,43,124.0,02,3.0,Assertion,until people start rolling 8's :P,36.0,Segment,pilot01_02_asoubeille_1340974725421,EDU,0,0
67,?,Other,4.0,pilot01,Dave,pilot01_02_stac_1340774905,46,140.0,02,4.0,Assertion,woo,37.0,Segment,0,0,pilot01_02_asoubeille_1340975131484,Comment
68,?,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340784905,47,160.0,02,4.0,Assertion,Bugger.,38.0,Segment,0,0,pilot01_02_asoubeille_1350557189828,Continuation
69,All,Offer,4.0,pilot01,Tomm,pilot01_02_stac_1340784906,47,199.0,02,4.0,Request,Got any clay to trade for sheep/wheat?,38.0,Segment,0,0,pilot01_02_asoubeille_1340975185281,Question_answer_pair
70,All,Offer,4.0,pilot01,Tomm,pilot01_02_stac_1340784906,47,199.0,02,4.0,Request,Got any clay to trade for sheep/wheat?,38.0,Segment,0,0,pilot01_02_asoubeille_1350557876250,Question_answer_pair
71,Tomm,Refusal,4.0,pilot01,Dave,pilot01_02_stac_1340794905,48,222.0,02,4.0,Assertion,Only got 1,39.0,Segment,pilot01_02_asoubeille_1340975257140,EDU,pilot01_02_asoubeille_1340975221578,Continuation
72,Tomm,Refusal,4.0,pilot01,Dave,pilot01_02_stac_1340794906,48,248.0,02,4.0,Assertion,"and I'm holding on to it,",39.0,Segment,pilot01_02_asoubeille_1340975257140,EDU,pilot01_02_asoubeille_1340975233437,Comment
73,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1340794907,48,255.0,02,4.0,Assertion,sorry.,39.0,Segment,pilot01_02_asoubeille_1340975257140,EDU,0,0
74,rennoc1,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340804905,49,320.0,02,4.0,Assertion,Also: Rennoc - be careful holding lots of resources.,40.0,Segment,pilot01_02_nasher_1374499279689,EDU,pilot01_02_nasher_1374380868467,Explanation
75,rennoc1,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340804906,49,342.0,02,4.0,Assertion,"If someone rolls a 7,",40.0,Segment,pilot01_02_asoubeille_1350557538062,EDU,pilot01_02_nasher_1374380680893,Conditional
76,rennoc1,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340804907,49,366.0,02,4.0,Assertion,"I think, you lose cards",40.0,Segment,pilot01_02_asoubeille_1350557538062,EDU,0,0
77,Tomm,Accept,4.0,pilot01,rennoc1,pilot01_02_stac_1340814905,50,396.0,02,4.0,Assertion,got some clay.,41.0,Segment,pilot01_02_asoubeille_1350557854656,EDU,pilot01_02_asoubeille_1340975637765,Clarification_question
78,Tomm,Accept,4.0,pilot01,rennoc1,pilot01_02_stac_1340814906,50,417.0,02,4.0,Question,how many do you need,41.0,Segment,pilot01_02_asoubeille_1350557854656,EDU,0,0
79,"Tomm, rennoc1",Other,4.0,pilot01,Dave,pilot01_02_stac_1340824905,51,435.0,02,4.0,Assertion,"Yeah,",42.0,Segment,pilot01_02_asoubeille_1350557989859,EDU,pilot01_02_asoubeille_1340975916640,Elaboration
80,"Tomm, rennoc1",Other,4.0,pilot01,Dave,pilot01_02_stac_1340824906,51,461.0,02,4.0,Question,that's the robber isn'tit,42.0,Segment,pilot01_02_asoubeille_1350557989859,EDU,0,0
81,rennoc1,Offer,4.0,pilot01,Tomm,pilot01_02_stac_1340834905,52,508.0,02,4.0,Request,"Well, what would you like for clay",43.0,Segment,pilot01_02_asoubeille_1350558221578,EDU,pilot01_02_asoubeille_1340976097500,Continuation
82,rennoc1,Offer,4.0,pilot01,Tomm,pilot01_02_stac_1340834906,52,545.0,02,4.0,Request,and/or how many do you want to give?,43.0,Segment,pilot01_02_asoubeille_1350558221578,EDU,0,0
83,Tomm,Counteroffer,4.0,pilot01,rennoc1,pilot01_02_stac_1340844905,53,592.0,02,4.0,Assertion,could do with some ore or sheep,44.0,Segment,0,0,pilot01_02_asoubeille_1340977930078,Q_Elab
84,Tomm,Counteroffer,4.0,pilot01,rennoc1,pilot01_02_stac_1340844905,53,592.0,02,4.0,Assertion,could do with some ore or sheep,44.0,Segment,0,0,pilot01_02_asoubeille_1350558630093,Parallel
85,All,Other,4.0,pilot01,Dave,pilot01_02_stac_1340854905,54,639.0,02,4.0,Assertion,"While we're talking about trading,",45.0,Segment,pilot01_02_asoubeille_1350558617328,EDU,pilot01_02_asoubeille_1340976341062,Background
86,All,Counteroffer,4.0,pilot01,Dave,pilot01_02_stac_1340854906,54,662.0,02,4.0,Request,does anyone have sheep,45.0,Segment,pilot01_02_asoubeille_1350558617328,EDU,0,0
87,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340864905,55,680.0,02,4.0,Assertion,"Yeah,",46.0,Segment,0,0,pilot01_02_nasher_1374504415049,Elaboration
88,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340864906,55,725.0,02,4.0,Assertion,on a 7 anyone with lots of cards gets halved,46.0,Segment,pilot01_02_nasher_1374504178633,EDU,pilot01_02_asoubeille_1340976750750,Continuation
89,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340864907,55,752.0,02,4.0,Assertion,and the robber gets moved.,46.0,Segment,pilot01_02_nasher_1374504178633,EDU,0,0
90,Dave,Accept,4.0,pilot01,Tomm,pilot01_02_stac_1340874905,56,783.0,02,4.0,Assertion,"I have sheep, yes.",47.0,Segment,0,0,pilot01_02_asoubeille_1340976806078,Q_Elab
91,Tomm,Counteroffer,4.0,pilot01,Dave,pilot01_02_stac_1340884905,57,814.0,02,4.0,Question,Need ore or wheat?,48.0,Segment,0,0,pilot01_02_asoubeille_1340976916796,Q_Elab
92,Dave,Offer,4.0,pilot01,Tomm,pilot01_02_stac_1340894905,58,865.0,02,4.0,Request,Sheep for an ore and sheep for a clay?,49.0,Segment,0,0,pilot01_02_asoubeille_1340976955609,Acknowledgement
93,Tomm,Accept,4.0,pilot01,Dave,pilot01_02_stac_1340904905,59,882.0,02,4.0,Assertion,sure,50.0,Segment,0,0,pilot01_02_asoubeille_1340977420187,Continuation
94,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340914905,60,920.0,02,4.0,Question,soo... how do we do this?,51.0,Segment,0,0,pilot01_02_asoubeille_1340977456843,Acknowledgement
95,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340914905,60,920.0,02,4.0,Question,soo... how do we do this?,51.0,Segment,0,0,pilot01_02_asoubeille_1350559157218,Question_answer_pair
96,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1340924905,61,936.0,02,4.0,Assertion,"ok,",52.0,Segment,0,0,pilot01_02_nasher_1374504457710,Elaboration
97,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1340924906,61,944.0,02,4.0,Assertion,I THINK,52.0,Segment,pilot01_02_asoubeille_1340977598359,EDU,pilot01_02_asoubeille_1340977532781,Continuation
98,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1340934905,62,979.0,02,4.0,Assertion,click register a trade,53.0,Segment,pilot01_02_asoubeille_1340977598359,EDU,pilot01_02_asoubeille_1340977549937,Narration
99,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1340944905,63,1009.0,02,4.0,Assertion,then I'm not sure,54.0,Segment,pilot01_02_asoubeille_1340977598359,EDU,0,0
100,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340954905,64,1047.0,02,4.0,Assertion,"so I give a sheep to red,",55.0,Segment,pilot01_02_asoubeille_1340977644031,EDU,pilot01_02_asoubeille_1340977617031,Result
101,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340954906,64,1068.0,02,4.0,Question,"I get an ore, right?",55.0,Segment,pilot01_02_asoubeille_1340977644031,EDU,0,0
102,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1340964905,65,1084.0,02,4.0,Assertion,yup,56.0,Segment,0,0,pilot01_02_asoubeille_1340977713468,Clarification_question
103,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1340994905,68,1111.0,02,4.0,Question,Did that work?,57.0,Segment,0,0,pilot01_02_asoubeille_1340977750984,Question_answer_pair
104,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341004905,69,1136.0,02,4.0,Assertion,"it did, yeah",58.0,Segment,0,0,pilot01_02_asoubeille_1340977761484,Continuation
105,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341014905,70,1155.0,02,4.0,Assertion,thanks,59.0,Segment,0,0,0,0
106,rennoc1,Offer,4.0,pilot01,Tomm,pilot01_02_stac_1341024905,71,1193.0,02,4.0,Request,rennoc: Sheep for an ore?,60.0,Segment,0,0,pilot01_02_asoubeille_1340977998671,Question_answer_pair
107,Tomm,Refusal,4.0,pilot01,rennoc1,pilot01_02_stac_1341034905,72,1229.0,02,4.0,Assertion,"I dont have any ore,",61.0,Segment,pilot01_02_asoubeille_1340977985968,EDU,pilot01_02_asoubeille_1340977953250,Contrast
108,Tomm,Counteroffer,4.0,pilot01,rennoc1,pilot01_02_stac_1341034906,72,1255.0,02,4.0,Assertion,but i do have plenty clay,61.0,Segment,pilot01_02_asoubeille_1340977985968,EDU,0,0
109,All,Other,4.0,pilot01,Dave,pilot01_02_stac_1341044905,73,1315.0,02,4.0,Question,Is there a reason I can't buy a settlement now?,62.0,Segment,pilot01_02_asoubeille_1340978338625,EDU,pilot01_02_asoubeille_1340978024015,Explanation
110,All,Other,4.0,pilot01,Dave,pilot01_02_stac_1341044906,73,1336.0,02,4.0,Assertion,I have the resources,62.0,Segment,pilot01_02_asoubeille_1340978338625,EDU,0,0
111,rennoc1,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341054905,74,1374.0,02,4.0,Assertion,"Bah, that's what I meant,",63.0,Segment,pilot01_02_asoubeille_1340978263328,EDU,pilot01_02_asoubeille_1340978105203,Comment
112,rennoc1,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341054906,74,1381.0,02,4.0,Assertion,sorry.,63.0,Segment,pilot01_02_asoubeille_1340978263328,EDU,0,0
113,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341064905,75,1422.0,02,4.0,Assertion,You have to do it on your go,64.0,Segment,0,0,pilot01_02_nasher_1374506398366,Acknowledgement
114,Tomm,Other,4.0,pilot01,rennoc1,pilot01_02_stac_1341074905,76,1440.0,02,4.0,Assertion,ok,65.0,Segment,0,0,pilot01_02_asoubeille_1340978660765,Continuation
115,Tomm,Other,4.0,pilot01,Dave,pilot01_02_nasher_1374506241253,78,1456.0,02,4.0,Assertion,yes,66.0,Segment,0,0,pilot01_02_nasher_1397221408544,Contrast
116,Tomm,Other,4.0,pilot01,Dave,pilot01_02_nasher_1374506257614,78,1516.0,02,4.0,Assertion,"but the road and card options have a greyed out buy option,",66.0,Segment,pilot01_02_asoubeille_1340978544734,EDU,pilot01_02_nasher_1397221382248,Continuation
117,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341094906,78,1542.0,02,4.0,Assertion,settlement is just dashes,66.0,Segment,pilot01_02_asoubeille_1340978544734,EDU,0,0
118,Tomm,Other,4.0,pilot01,rennoc1,pilot01_02_stac_1341104905,79,1581.0,02,4.0,Question,how do I accept a trade,67.0,Segment,0,0,0,0
119,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341114905,80,1648.0,02,4.0,Assertion,"also you tried to trade with me there tomm, not rennoc",68.0,Segment,0,0,pilot01_02_asoubeille_1340978756375,Acknowledgement
120,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341114905,80,1648.0,02,4.0,Assertion,"also you tried to trade with me there tomm, not rennoc",68.0,Segment,0,0,pilot01_02_asoubeille_1340978791281,Comment
121,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341114905,80,1648.0,02,4.0,Assertion,"also you tried to trade with me there tomm, not rennoc",68.0,Segment,0,0,pilot01_02_nasher_1374506704699,Acknowledgement
122,?,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341124905,81,1667.0,02,4.0,Assertion,Thanks,69.0,Segment,0,0,0,0
123,Tomm,Other,4.0,pilot01,rennoc1,pilot01_02_stac_1341154905,84,1688.0,02,4.0,Assertion,ah...,70.0,Segment,0,0,0,0
124,Tomm,Other,4.0,pilot01,rennoc1,pilot01_02_stac_1341164905,85,1710.0,02,4.0,Assertion,thanks,71.0,Segment,0,0,0,0
125,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341174905,86,1777.0,02,4.0,Assertion,"Oh, you don't have anywhere you can BUILD a settlement",72.0,Segment,pilot01_02_asoubeille_1340979073250,EDU,pilot01_02_asoubeille_1340978983968,Explanation
126,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341184905,87,1857.0,02,4.0,Assertion,"they have to be two sides away from a settlement, connected by road",73.0,Segment,pilot01_02_asoubeille_1340979073250,EDU,pilot01_02_asoubeille_1340979030890,Result
127,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341194905,88,1921.0,02,4.0,Assertion,so you need to build one more segment of road first,74.0,Segment,pilot01_02_asoubeille_1340979073250,EDU,0,0
128,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341204905,89,1969.0,02,4.0,Question,"oh, so I need to build a road first",75.0,Segment,0,0,pilot01_02_asoubeille_1340979098875,Acknowledgement
129,Dave,Other,4.0,pilot01,Tomm,pilot01_02_stac_1341214905,90,1986.0,02,4.0,Assertion,yeah,76.0,Segment,0,0,pilot01_02_asoubeille_1340979125078,Acknowledgement
130,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341224905,91,2005.0,02,4.0,Assertion,"right,",77.0,Segment,0,0,pilot01_02_asoubeille_1340979135718,Comment
131,Tomm,Other,4.0,pilot01,Dave,pilot01_02_stac_1341224906,91,2012.0,02,4.0,Assertion,thanks,77.0,Segment,0,0,0,0
